Date,Open,High,Low,Close,Adj Close,Volume
4/12/2021,60175.94531,61253.03516,59589.875,59893.45313,59893.45313,51828688519
4/13/2021,59890.01953,63742.28516,59869.95703,63503.45703,63503.45703,69983454362
4/14/2021,63523.75391,64863.09766,61554.79688,63109.69531,63109.69531,77451779687
4/15/2021,63075.19531,63821.67188,62208.96484,63314.01172,63314.01172,60954381579
4/16/2021,63258.50391,63594.72266,60222.53125,61572.78906,61572.78906,84293007468
4/17/2021,61529.92188,62572.17578,60361.35156,60683.82031,60683.82031,66138759198
4/18/2021,60701.88672,61057.45703,52829.53516,56216.18359,56216.18359,97468872758
4/19/2021,56191.58594,57520.05469,54368.59375,55724.26563,55724.26563,65344865159
4/20/2021,55681.79297,57062.14844,53448.04688,56473.03125,56473.03125,67849323955
4/21/2021,56471.12891,56757.97266,53695.46875,53906.08984,53906.08984,54926612466
4/22/2021,53857.10547,55410.23047,50583.8125,51762.27344,51762.27344,74798630778
4/23/2021,51739.80859,52120.79297,47714.66406,51093.65234,51093.65234,86668667320
4/24/2021,51143.22656,51167.5625,48805.28516,50050.86719,50050.86719,49014494781
4/25/2021,50052.83203,50506.01953,47159.48438,49004.25391,49004.25391,46117114240
4/26/2021,49077.79297,54288.00391,48852.79688,54021.75391,54021.75391,58284039825
4/27/2021,54030.30469,55416.96484,53319.1875,55033.11719,55033.11719,49448222757
4/28/2021,55036.63672,56227.20703,53887.91797,54824.70313,54824.70313,48000572955
4/29/2021,54858.08984,55115.84375,52418.02734,53555.10938,53555.10938,46088929780
4/30/2021,53568.66406,57900.71875,53129.60156,57750.17578,57750.17578,52395931985
5/1/2021,57714.66406,58448.33984,57052.27344,57828.05078,57828.05078,42836427360
5/2/2021,57825.86328,57902.59375,56141.90625,56631.07813,56631.07813,38177405335
5/3/2021,56620.27344,58973.30859,56590.87109,57200.29297,57200.29297,51713139031
5/4/2021,57214.17969,57214.17969,53191.42578,53333.53906,53333.53906,68564706967
5/5/2021,53252.16406,57911.36328,52969.05469,57424.00781,57424.00781,69241316747
5/6/2021,57441.30859,58363.31641,55382.50781,56396.51563,56396.51563,69523285106
5/7/2021,56413.95313,58606.63281,55321.84766,57356.40234,57356.40234,68434023376
5/8/2021,57352.76563,59464.61328,56975.21094,58803.77734,58803.77734,65382980634
5/9/2021,58877.39063,59210.88281,56482.00391,58232.31641,58232.31641,65906690347
5/10/2021,58250.87109,59519.35547,54071.45703,55859.79688,55859.79688,71776546298
5/11/2021,55847.24219,56872.54297,54608.65234,56704.57422,56704.57422,61308396325
5/12/2021,56714.53125,57939.36328,49150.53516,49150.53516,49150.53516,75215403907
5/13/2021,49735.43359,51330.84375,46980.01953,49716.19141,49716.19141,96721152926
5/14/2021,49682.98047,51438.11719,48868.57813,49880.53516,49880.53516,55737497453
5/15/2021,49855.49609,50639.66406,46664.14063,46760.1875,46760.1875,59161047474
5/16/2021,46716.63672,49720.04297,43963.35156,46456.05859,46456.05859,64047871555
5/17/2021,46415.89844,46623.55859,42207.28906,43537.51172,43537.51172,74903638450
5/18/2021,43488.05859,45812.45703,42367.83203,42909.40234,42909.40234,56187365084
